security_code,security_name,segment,peer_group,fiscal_year,notice_date,debt_ratio,current_ratio,quick_ratio,cash_to_short_debt,interest_bearing_debt_yi,short_term_debt_yi,ocf_yi,ocf_to_current_liab,capex_yi,fcf_yi,gross_margin,net_margin,roe,roa,deduct_netprofit_yi,interest_coverage,cip_to_assets,revenue_yoy,loss_flag,negative_equity,raw_TOTAL_ASSETS,raw_TOTAL_LIABILITIES,raw_TOTAL_CURRENT_ASSETS,raw_TOTAL_CURRENT_LIAB,raw_INVENTORY,raw_MONETARYFUNDS,raw_SHORT_LOAN,raw_NONCURRENT_LIAB_1YEAR,raw_SHORT_BOND_PAYABLE,raw_LONG_LOAN,raw_BOND_PAYABLE,raw_CIP,raw_TOTAL_PARENT_EQUITY,raw_TOTAL_OPERATE_INCOME,raw_OPERATE_INCOME,raw_OPERATE_COST,raw_NETPROFIT,raw_PARENT_NETPROFIT,raw_DEDUCT_PARENT_NETPROFIT,raw_TOTAL_PROFIT,raw_FE_INTEREST_EXPENSE,raw_NETCASH_OPERATE,raw_CONSTRUCT_LONG_ASSET
600782,新钢股份,普钢,core,2025,2026-04-21,0.428667,0.996576,0.849357,1.7204,24.731,22.4047,2.47069,0.012716,26.7546,-24.284,0.0352218,0.00124131,0.00170119,0.000669253,-1.6827,3.05173,0.0499387,-0.143398,0,0,46826754809.15,20073067160.91,19363252883.49,19429776153.06,2860441764.97,3854493247.29,863979439.81,1376489974.15,,232628223.25,,2338465749.93,26130872841.8,35809018125.29,35809018125.29,34547759479.44,33189977.72,44450141.68,-168269707.78,163450135.99,79664635.44,247068522.2,2675464235.59
600808,马钢股份,普钢,core,2021,2022-03-24,0.589824,0.924036,0.657818,0.646705,157.628,103.105,167.745,0.358313,75.8633,91.8815,0.101565,0.0468353,0.174431,0.0697303,54.1329,11.7348,0.120596,0.394993,0,0,91207743018.0,53796559540.0,43258837008.0,46815116614.0,12463004529.0,6667853614.0,8952209045.0,1358293333.0,,5452250052.0,,10999333300.0,32752858934.0,113851189379.0,113851189379.0,102287854503.0,5993974645.0,5332253043.0,5413289720.0,7016329171.0,653603557.0,16774476432.0,7586327238.0
600808,马钢股份,普钢,core,2022,2023-03-31,0.656001,0.726056,0.536873,0.580455,192.403,112.579,66.417,0.12265,83.4216,-17.0046,0.0323741,-0.00839535,-0.0276862,-0.00871071,-11.1047,-0.185598,0.0801566,-0.102745,1,0,96892289376.0,63561399003.0,39317078246.0,54151564967.0,10244541734.0,6534701307.0,9198483165.0,2059412922.0,,7982390765.0,,7766555935.0,29199669295.0,102153602375.0,102153602375.0,98846467731.0,-819242482.0,-857615094.0,-1110469129.0,-560617244.0,472856092.0,6641701587.0,8342161649.0
600808,马钢股份,普钢,core,2023,2024-03-29,0.61823,0.500325,0.275189,0.421558,200.121,132.124,19.918,0.045212,63.9916,-44.0736,0.0164732,-0.0134141,-0.046593,-0.0180761,-17.1948,-2.15119,0.0474719,-0.0314784,1,0,84552252935.0,52272711584.0,22041620102.0,44054616027.0,9918290048.0,5569797722.0,9428060223.0,3784343228.0,,6799686232.0,,4013854765.0,27768582604.0,98937969364.0,98937969364.0,97308142081.0,-1639900661.0,-1327161500.0,-1719478874.0,-1596659516.0,506684523.0,1991799262.0,6399162194.0
600808,马钢股份,普钢,core,2024,2025-03-29,0.654002,0.434201,0.257841,0.406101,213.27,158.436,9.60875,0.0214263,16.8238,-7.2151,-0.00946964,-0.0569461,-0.182619,-0.0609559,-42.9843,-7.13223,0.0100726,-0.173049,1,0,78962973613.0,51641921412.0,19472010226.0,44845617126.0,7908952095.0,6434105447.0,11344435564.0,4499159554.0,,5483408184.0,,795364312.0,23257460660.0,81816891739.0,81816891739.0,82591668039.0,-4983609089.0,-4659156254.0,-4298427785.0,-4829857723.0,593915273.0,960874794.0,1682384945.0
600808,马钢股份,普钢,core,2025,2026-03-26,0.556701,0.601572,0.42222,0.896298,161.811,131.316,41.5151,0.100478,19.8984,21.6167,0.0530881,-0.00269341,-0.00883198,-0.000338525,-2.28717,1.30043,0.0241762,-0.0524591,1,0,81746797461.0,45508564220.0,24855515535.0,41317602347.0,7410383368.0,11769801934.0,10759496729.0,2372076286.0,,3049493813.0,,1976324641.0,24026672263.0,77524852312.0,77524852312.0,73409207886.0,-27202174.0,-208806314.0,-228717239.0,140059774.0,466201639.0,4151508868.0,1989836698.0
601003,柳钢股份,普钢,core,2021,2022-04-28,0.634057,0.956977,0.387845,0.436395,263.231,96.1447,32.2537,0.1114,33.9727,-1.71904,0.0731472,0.0156032,0.118881,0.0345209,14.1499,3.78938,0.101191,0.695279,0,0,72532620468.28,45989833616.03,27707274513.93,28952928610.56,16478030038.42,4195703112.1,5978767163.5,3635699052.58,,15708660000.0,999944683.44,7339637263.37,12569560104.41,92721573259.81,92721573259.81,85939247077.95,2297836819.93,1446752367.67,1414992541.59,2338641932.63,838409569.56,3225367016.64,3397271212.26
601003,柳钢股份,普钢,core,2022,2023-04-28,0.684053,0.8587,0.549278,0.995465,301.606,88.0143,66.6164,0.245457,18.6486,47.9678,-0.00944242,-0.0290117,-0.209252,-0.0491062,-24.08,-2.76648,0.116158,-0.12938,1,0,71412255338.1,48849797486.73,23304846310.46,27139678302.08,8397618014.29,8761523885.21,2394247056.19,6407187052.39,,20360322000.0,998831379.86,8295099197.59,9814684776.71,80725267280.14,80725267280.14,81487508997.61,-3534292991.28,-2341977483.16,-2407998332.5,-4224631809.86,1121638245.7,6661637208.56,1864855638.23
601003,柳钢股份,普钢,core,2023,2024-04-27,0.689859,0.766177,0.404298,0.678356,311.01,99.4205,2.52128,0.00977303,18.2189,-15.6976,0.0205513,-0.0127047,-0.108678,-0.0186637,-11.1412,-0.348641,0.135716,-0.0131396,1,0,68575026278.63,47307067286.65,19766098499.69,25798353279.86,9335881922.09,6744247998.51,3034635136.25,6907411698.39,,20159692000.0,999295912.58,9306705353.72,8811206248.05,79664570904.61,79664570904.61,78027363149.88,-1306341914.77,-1012113691.66,-1114119559.51,-1502621696.67,1114174854.46,252128076.9,1821890883.88
601003,柳钢股份,普钢,core,2024,2025-04-29,0.680447,0.578956,0.309656,0.500885,302.245,102.625,25.9115,0.109428,21.9591,3.9524,0.037437,-0.00617182,-0.0503779,-0.00904901,-4.76878,0.439683,0.0858295,-0.119656,1,0,64676489714.75,44008913610.04,13709152739.33,23679075510.02,6376791557.22,5140353454.43,1978016062.38,8284522771.06,,19461940671.99,500007402.36,5551147788.78,8372654129.83,70132260562.73,70132260562.73,67506717003.02,-602897061.48,-432843533.76,-476877520.42,-605328311.71,1080331262.02,2591153688.46,2195913956.78
601003,柳钢股份,普钢,core,2025,2026-04-30,0.634543,0.578115,0.292149,0.500207,254.818,64.06,44.7031,0.2347,12.2965,32.4066,0.0571341,0.00974026,0.0770876,0.0220957,6.14507,2.6846,0.0332262,-0.0176981,0,0,61375498405.2,38945416265.96,11011330209.73,19046948568.12,5446786647.65,3204328850.44,1594130498.32,4811873671.09,,18076118379.55,999686227.17,2039276232.96,9036553085.03,68891055214.72,68891055214.72,64955025162.85,1392601438.28,671016701.56,614506783.58,1573930057.51,934307087.2,4470311999.25,1229649776.75
601005,重庆钢铁,普钢,core,2021,2022-03-31,0.479597,0.866284,0.617105,1.52186,65.036,42.1237,56.2143,0.364758,48.9133,7.30106,0.0978441,0.0570747,0.107248,0.0548405,24.532,5.65353,0.0970875,0.627175,0,0,42995956409.94,20620745699.73,13350662636.86,15411419358.92,3840198176.45,6410645184.21,2629733817.52,1582635108.56,,1792800000.0,498433703.78,4174368877.56,22375210710.21,39849418316.92,39849418316.92,35950387853.56,2274394561.62,2274394561.62,2453197000.0,2262885558.08,486272752.81,5621433367.19,4891327497.22
601005,重庆钢铁,普钢,core,2022,2023-03-31,0.457843,0.651805,0.453317,1.15518,62.1087,34.5893,14.7009,0.112542,26.9277,-12.2268,-0.000844003,-0.027882,-0.0466366,-0.0247547,-10.8627,-3.04192,0.0227146,-0.0825078,1,0,39364800403.02,18022882702.66,8514222407.34,13062529956.71,2592756838.0,3995675679.9,1106441170.84,2352484115.99,,2751945100.0,,894154698.17,21341917700.36,36561531209.23,36561531209.23,36592389251.37,-1019409354.34,-1019409354.34,-1086273000.0,-1201895127.92,297357722.61,1470087058.83,2692771888.13
601005,重庆钢铁,普钢,core,2023,2024-03-29,0.468525,0.436538,0.247435,0.715998,56.9002,27.0308,10.2204,0.0737211,8.16382,2.05657,-0.0174034,-0.0380083,-0.0725511,-0.0389568,-15.143,-5.49825,0.0333076,0.0753965,1,0,37357034682.66,17502703730.69,6051987303.55,13863584109.59,2621656663.14,1935398455.91,450330519.49,2252746756.99,,2986945100.0,,1244271745.73,19854330951.97,39318142482.09,39318142482.09,40002413070.34,-1494416898.53,-1494416898.53,-1514298000.0,-1744258633.77,268419752.2,1022038551.21,816381606.15
601005,重庆钢铁,普钢,core,2024,2025-03-29,0.531934,0.371436,0.270635,0.583785,68.2454,51.7246,13.0986,0.077382,7.66085,5.43778,-0.0497469,-0.117293,-0.175287,-0.0877464,-32.0674,-16.7398,0.0242726,-0.307084,1,0,35479243942.55,18872607958.2,6287381245.43,16927242278.46,1706277340.05,3019606427.86,919368395.79,4253092856.67,,1652075334.18,,861172176.21,16606635984.35,27244169261.07,27244169261.07,28599481666.56,-3195561486.3,-3195561486.3,-3206738000.0,-3291641069.85,185550737.25,1309863359.77,766085126.85
601005,重庆钢铁,普钢,core,2025,2026-03-31,0.566424,0.316743,0.225431,0.795954,59.3406,34.0766,16.4891,0.107796,9.97238,6.51672,0.00820388,-0.113402,-0.178373,-0.0805688,-27.4554,-12.6685,0.00530174,-0.119017,1,0,32086178300.85,18174393239.41,4845071992.06,15296556354.67,1396760706.2,2712339198.87,975503250.15,2432156341.55,,2526395643.01,,170112476.56,13911785061.44,24001657475.68,24001657475.68,23804750788.55,-2721831982.67,-2721831982.67,-2745541982.67,-2734532306.21,200060219.69,1648910350.39,997238327.11
