security_code,security_name,period,available_by,debt_ratio,current_ratio,quick_ratio,cash_ratio,gross_margin,net_margin,roe,ocf_to_revenue,revenue_growth,parent_netprofit,deduct_netprofit,equity,ocf,revenue,negative_equity,last_trade_date,ret_20d,ret_60d,max_drawdown_60d,vol_20d,dist_52w_low,excess_ret_60d
000629,钒钛股份,20260630,2026-08-31,0.13351972,3.879811,3.264999,0.875382,0.11372731,0.04955044,0.0177,0.055074,0.17445982000000002,221414883.82,208553412.45,12901248951.86,275153666.49,4996001952.7,0,2026-09-24,-0.08414239482200636,-0.17971014492753623,-0.1627218934911242,0.16462964046494874,0.010714285714285898,-0.1919800835778429
600295,鄂尔多斯,20260630,2026-08-31,0.43604554,0.859032,0.609477,0.435536,0.24052443,0.13783581,0.06269999999999999,0.14973,0.058820319999999995,1415710092.09,1339984354.27,26280571004.46,1874630805.59,12520026592.56,0,2026-09-24,-0.07313540912382333,0.11207645525629895,-0.12984364377974167,0.4115611068988482,0.40197152245345014,0.09980651660599227
002318,久立特材,20260630,2026-08-31,0.37700668000000004,1.955149,1.240733,0.456548,0.21234277,0.10139581,0.0454,0.016835,-0.36380389,392637196.48,157290575.7,8283715815.38,65391425.27,3884046789.34,0,2026-09-24,-0.060745278203165,-0.21401110636480147,-0.24947589098532508,0.25650780055307437,0.027932960893854775,-0.22628104501510815
002478,常宝股份,20260630,2026-08-31,0.31415911,2.196446,1.671688,1.054502,0.13629752,0.04678658000000001,0.0221,0.023188,0.021324649999999997,134315159.67,158470709.6,5958762503.08,66586204.23,2871553102.08,0,2026-09-24,-0.020408163265306256,0.09268292682926815,-0.11157024793388426,0.36781254761116045,0.2655367231638419,0.08041298817896148
002443,金洲管道,20260630,2026-08-31,0.22182526,4.943371,3.838606,2.193179,0.12652499,0.04717097,0.0245,0.027248,0.01758264,85750356.42,77731605.55,3660587128.2,55996476.54,2055065034.27,0,2026-09-24,0.3153611393692777,0.2516940948693127,-0.24101068999028186,0.5659228951995494,0.8524355300859596,0.23942415621900603
601686,友发集团,20260630,2026-08-31,0.70054956,1.167274,0.900344,0.6613,0.02828771,0.01217476,0.0404,0.026673,0.005444139999999999,278467306.38,168983970.17,7870625616.0,667468952.59,25023615428.16,0,2026-09-24,-0.03831417624521072,0.0161943319838056,-0.05816135084427776,0.12831735096956345,0.039337474120082705,0.003924393333498921
300881,盛德鑫泰,20260630,2026-08-31,0.63939541,1.467224,1.104429,0.412691,0.10932238,0.03385462,0.0493,-0.096791,0.10594424999999999,60259016.15,59821525.6,1428235962.8,-159518021.4,1648050860.61,0,2026-09-24,-0.02604001270244516,-0.22862173038229372,-0.2792792792792793,0.29745548980510744,0.06493055555555549,-0.2408916690326004
000778,新兴铸管,20260630,2026-08-31,0.42647605,1.123459,0.826284,0.317145,0.06145272,0.0188368,0.0141,0.02638,0.19168873000000003,371587675.53,304445062.18,28696322432.99,557312830.91,21126128779.32,0,2026-09-24,-0.021917808219178103,-0.027247956403269824,-0.09848484848484851,0.23021757790237785,0.0,-0.0395178950535765
603995,甬金股份,20260630,2026-08-31,0.5838457,1.129188,0.564925,0.305462,0.051978989999999996,0.019151229999999998,0.0591,0.011715,0.13045787,360175129.74,344629425.76,7333031626.42,266528729.03,22750491376.65,0,2026-09-24,0.008764940239043728,0.047146401985111774,-0.2000842459983151,0.3089622483152416,0.5924528301886793,0.0348764633348051
603878,武进不锈,20260630,2026-08-31,0.35473694,2.702306,1.809337,1.053026,0.043479720000000006,-0.059892440000000005,-0.0189,-0.085815,-0.26794979,-49142246.13,-63357929.9,2550249512.87,-70412334.64,820508321.91,0,2026-09-24,-0.04330708661417315,-0.06177606177606165,-0.1752380952380952,0.227329698655014,0.1224018475750579,-0.07404600042636833
002756,永兴材料,20260630,2026-08-31,0.13158852,6.142387,5.603291,4.731113,0.28090507,0.19298272000000002,0.0729,0.213438,0.37620551,958883366.24,913420770.34,13651982501.71,1084911591.57,5083006910.07,0,2026-09-24,-0.14541876230045925,-0.3742193755004004,-0.3515845362535258,0.2238778633021611,0.18137847642079818,-0.3864893141507071
688186,广大特材,20260630,2026-08-31,0.59733321,1.373456,0.760624,0.104192,0.13498232,0.017697380000000002,0.0026000000000000003,-0.099439,-0.08359311999999999,12343623.6,11316841.03,4996926463.94,-230951246.27,2322539422.97,0,2026-09-24,0.019176136363636243,-0.05405405405405406,-0.14146658014276436,0.21641499686236332,0.08465608465608465,-0.06632399270436073
300034,钢研高纳,20260630,2026-08-31,0.44493654,2.029172,1.445927,0.385061,0.21391086,0.07152181,0.0268,0.155135,0.13044145000000001,102870971.88,91584100.71,4380030449.11,318569605.91,2053495665.67,0,2026-09-24,-0.01872659176029956,-0.06982248520710044,-0.16470588235294126,0.21001666737391872,0.05432595573440646,-0.08209242385740712
002541,鸿路钢构,20260630,2026-08-31,0.65675547,1.386961,0.512259,0.230992,0.11509989,0.03764496,0.0431,-0.017731,0.10346101,438249153.96,404542652.6,10231047530.41,-206421992.0,11641639061.02,0,2026-09-24,-0.08056394763343389,0.021824286513710156,-0.1936936936936937,0.5578083492214877,0.199737187910644,0.009554347863403478
