as_of,security_code,security_name,peer_group,period,total_score,score_leverage,score_liquidity,score_cash,score_profit,score_market,score_contingent,base_tier,tier,tier_label,red_lines,events_after_report,reasons
2026-09-26,000761,本钢板材,core,20260630,68.7,87.0,91.3,65.2,92.8,62.3,0.0,weak,weak,弱,资产负债率87.4%≥85%；单一维度极差：短期偿债91分,0,资产负债率87.4%≥85%；单一维度极差：短期偿债91分；速动比率0.15（24家中第2弱）；现金比率0.06（24家中第2弱）；毛利率-4.8%（24家中第2弱）
2026-09-26,600231,凌钢股份,core,20260630,66.5,82.6,91.3,82.6,72.5,56.5,0.0,weak,weak,弱,单一维度极差：短期偿债91分,0,单一维度极差：短期偿债91分；毛利率-7.0%（24家中第1弱）；净利率-10.3%（24家中第1弱）；流动比率0.31（24家中第2弱）
2026-09-26,600569,安阳钢铁,core,20260630,66.2,95.7,59.4,95.7,82.6,52.2,4.4,weak,weak,弱,资产负债率94.5%≥85%；单一维度极差：杠杆96分,0,资产负债率94.5%≥85%；单一维度极差：杠杆96分；资产负债率94.5%（24家中第2弱）；经营现金流/收入-11.9%（24家中第2弱）；净利率-9.4%（24家中第2弱）
2026-09-26,600307,酒钢宏兴,core,20260630,58.3,91.3,97.1,73.9,34.8,29.0,0.0,medium,weak,弱,资产负债率89.7%≥85%；单一维度极差：杠杆91分；单一维度极差：短期偿债97分,0,资产负债率89.7%≥85%；单一维度极差：杠杆91分；单一维度极差：短期偿债97分；速动比率0.11（24家中第1弱）；流动比率0.28（24家中第1弱）；资产负债率89.7%（24家中第3弱）
2026-09-26,600581,八一钢铁,core,20260630,56.9,100.0,72.5,26.1,42.0,24.6,,medium,weak,弱,资不抵债（净资产为负）；资产负债率101.8%≥85%；单一维度极差：杠杆100分,0,资不抵债（净资产为负）；资产负债率101.8%≥85%；单一维度极差：杠杆100分；资产负债率101.8%（24家中第1弱）；流动比率0.34（24家中第3弱）；速动比率0.24（24家中第6弱）
2026-09-26,600117,西宁特钢,other,20260630,54.5,45.8,81.9,83.3,83.3,26.4,0.0,medium,medium,中,,0,现金比率0.05（比24家核心钢厂中的24家更差）；毛利率-8.0%（比24家核心钢厂中的24家更差）；净利率-14.6%（比24家核心钢厂中的24家更差）
2026-09-26,600408,安泰集团,other,20260630,54.0,75.0,100.0,25.0,50.0,51.4,0.0,medium,weak,弱,单一维度极差：短期偿债100分,0,单一维度极差：短期偿债100分；速动比率0.09（比24家核心钢厂中的24家更差）；现金比率0.03（比24家核心钢厂中的24家更差）；流动比率0.20（比24家核心钢厂中的24家更差）
2026-09-26,600022,山东钢铁,core,20260630,53.1,73.9,79.7,60.9,50.7,37.7,0.0,medium,medium,中,,0,收入增长-8.2%（24家中第4弱）；速动比率0.23（24家中第5弱）；现金比率0.14（24家中第6弱）
2026-09-26,000717,中南股份,core,20260630,52.8,69.6,81.2,21.7,60.9,68.1,0.0,medium,medium,中,,0,60日超额收益-6.8%（24家中第2弱）；速动比率0.21（24家中第4弱）；流动比率0.36（24家中第4弱）
2026-09-26,600399,抚顺特钢,core,20260630,52.6,52.2,52.2,100.0,52.2,59.4,0.0,medium,medium,中,,0,经营现金流/收入-21.2%（24家中第1弱）；现金比率0.05（24家中第1弱）；净利率-6.0%（24家中第4弱）
2026-09-26,002110,三钢闽光,core,20260630,49.7,60.9,37.7,87.0,47.8,65.2,0.0,medium,medium,中,,0,经营现金流/收入-6.0%（24家中第4弱）；60日超额收益-4.7%（24家中第6弱）；60日最大回撤-12.8%（24家中第6弱）
2026-09-26,601003,柳钢股份,core,20260630,49.0,65.2,43.5,39.1,56.5,86.2,0.0,medium,medium,中,,0,60日最大回撤-16.7%（24家中第1弱）；20日波动率48.4%（24家中第1弱）；收入增长-5.0%（24家中第8弱）
2026-09-26,688186,广大特材,other,20260630,48.4,54.2,34.7,91.7,38.9,73.6,0.0,medium,medium,中,,0,经营现金流/收入-9.9%（比24家核心钢厂中的22家更差）；60日超额收益-6.6%（比24家核心钢厂中的22家更差）；60日最大回撤-14.1%（比24家核心钢厂中的22家更差）
2026-09-26,000959,首钢股份,core,20260630,46.2,21.7,56.5,78.3,43.5,81.2,1.1,medium,medium,中,,0,60日超额收益-6.3%（24家中第3弱）；经营现金流/收入1.3%（24家中第6弱）；20日波动率29.6%（24家中第6弱）
2026-09-26,300881,盛德鑫泰,other,20260630,43.9,70.8,2.8,91.7,8.3,94.4,0.0,medium,medium,中,,0,60日超额收益-24.1%（比24家核心钢厂中的24家更差）；60日最大回撤-27.9%（比24家核心钢厂中的24家更差）；经营现金流/收入-9.7%（比24家核心钢厂中的22家更差）
2026-09-26,002541,鸿路钢构,other,20260630,43.5,75.0,16.7,83.3,6.9,77.8,0.0,medium,medium,中,,0,60日最大回撤-19.4%（比24家核心钢厂中的24家更差）；20日波动率55.8%（比24家核心钢厂中的24家更差）；经营现金流/收入-1.8%（比24家核心钢厂中的20家更差）
2026-09-26,000898,鞍钢股份,core,20260630,41.8,26.1,66.7,52.2,82.6,20.3,0.0,medium,medium,中,,0,毛利率-1.8%（24家中第3弱）；现金比率0.12（24家中第5弱）；净利率-4.3%（24家中第5弱）
2026-09-26,600782,新钢股份,core,20260630,40.4,4.3,30.4,91.3,81.2,50.7,0.0,medium,medium,中,,0,经营现金流/收入-7.7%（24家中第3弱）；毛利率-0.0%（24家中第5弱）；收入增长-8.0%（24家中第5弱）
2026-09-26,000932,华菱钢铁,core,20260630,39.2,39.1,31.9,47.8,39.1,79.7,0.0,strong,strong,强,,0,60日最大回撤-13.3%（24家中第3弱）；60日超额收益-4.6%（24家中第7弱）；20日波动率28.7%（24家中第7弱）
2026-09-26,603878,武进不锈,other,20260630,38.1,0.0,0.0,91.7,81.9,80.6,0.0,strong,strong,强,,0,收入增长-26.8%（比24家核心钢厂中的24家更差）；60日超额收益-7.4%（比24家核心钢厂中的24家更差）；60日最大回撤-17.5%（比24家核心钢厂中的24家更差）
2026-09-26,603995,甬金股份,other,20260630,37.6,45.8,15.3,79.2,23.6,66.7,0.0,strong,strong,强,,0,60日最大回撤-20.0%（比24家核心钢厂中的24家更差）；20日波动率30.9%（比24家核心钢厂中的21家更差）；经营现金流/收入1.2%（比24家核心钢厂中的19家更差）
2026-09-26,600010,包钢股份,core,20260630,35.9,47.8,49.3,13.0,52.2,44.9,0.0,strong,strong,强,,0,收入增长-10.5%（24家中第1弱）；60日超额收益-6.9%（24家中第1弱）；现金比率0.16（24家中第9弱）
2026-09-26,601686,友发集团,other,20260630,35.8,75.0,8.3,70.8,40.3,16.7,0.0,strong,strong,强,,0,资产负债率70.1%（比24家核心钢厂中的18家更差）；经营现金流/收入2.7%（比24家核心钢厂中的17家更差）；毛利率2.8%（比24家核心钢厂中的16家更差）
2026-09-26,600507,方大特钢,core,20260630,33.8,56.5,4.3,43.5,39.1,49.3,12.3,strong,strong,强,,0,收入增长-7.6%（24家中第6弱）；60日超额收益-4.1%（24家中第8弱）；60日最大回撤-12.2%（24家中第8弱）
2026-09-26,000923,河钢资源,other,20260630,33.8,0.0,0.0,95.8,65.3,63.9,0.0,strong,strong,强,,0,收入增长-24.8%（比24家核心钢厂中的24家更差）；20日波动率53.5%（比24家核心钢厂中的24家更差）；经营现金流/收入-13.4%（比24家核心钢厂中的23家更差）
2026-09-26,601005,重庆钢铁,core,20260630,33.3,13.0,49.3,34.8,81.2,23.2,0.0,strong,strong,强,,0,收入增长-9.6%（24家中第2弱）；毛利率0.8%（24家中第6弱）；流动比率0.45（24家中第7弱）
2026-09-26,000825,太钢不锈,core,20260630,33.3,8.7,43.5,56.5,47.8,47.8,0.0,strong,strong,强,,0,60日超额收益-4.8%（24家中第5弱）；毛利率1.6%（24家中第7弱）；速动比率0.32（24家中第8弱）
2026-09-26,000709,河钢股份,core,20260630,32.2,78.3,44.9,4.3,24.6,21.7,0.0,strong,strong,强,,0,资产负债率74.7%（24家中第6弱）；流动比率0.50（24家中第8弱）
2026-09-26,002318,久立特材,other,20260630,29.9,0.0,2.8,75.0,33.3,87.5,0.0,strong,strong,强,,0,收入增长-36.4%（比24家核心钢厂中的24家更差）；60日超额收益-22.6%（比24家核心钢厂中的24家更差）；60日最大回撤-24.9%（比24家核心钢厂中的24家更差）
2026-09-26,600282,南钢股份,core,20260630,29.6,43.5,30.4,30.4,5.8,62.3,0.0,strong,strong,强,,0,60日超额收益-5.1%（24家中第4弱）；60日最大回撤-12.9%（24家中第5弱）
