as_of,security_code,security_name,peer_group,period,total_score,score_leverage,score_liquidity,score_cash,score_profit,score_market,score_contingent,base_tier,tier,tier_label,red_lines,events_after_report,reasons
2025-04-30,600581,八一钢铁,core,20250331,84.6,100.0,98.6,87.0,65.2,62.3,,weak,weak,弱,资不抵债（净资产为负）；资产负债率100.7%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债99分,0,资不抵债（净资产为负）；资产负债率100.7%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债99分；资产负债率100.7%（24家中第1弱）；现金比率0.06（24家中第1弱）；流动比率0.30（24家中第1弱）
2025-04-30,600307,酒钢宏兴,core,20250331,68.8,91.3,89.9,91.3,66.7,59.4,0.0,weak,weak,弱,资产负债率86.0%≥85%；单一维度极差：杠杆91分,0,资产负债率86.0%≥85%；单一维度极差：杠杆91分；速动比率0.15（24家中第1弱）；资产负债率86.0%（24家中第3弱）；经营现金流/收入-19.4%（24家中第3弱）
2025-04-30,000761,本钢板材,core,20250331,63.6,82.6,84.1,65.2,87.0,49.3,0.0,weak,weak,弱,,0,毛利率-3.5%（24家中第1弱）；速动比率0.22（24家中第3弱）；现金比率0.09（24家中第3弱）
2025-04-30,600231,凌钢股份,core,20250331,58.4,69.6,44.9,69.6,92.8,55.1,19.3,medium,medium,中,,0,毛利率-3.3%（24家中第2弱）；收入增长-25.1%（24家中第2弱）；净利率-6.5%（24家中第4弱）
2025-04-30,600808,马钢股份,core,20250331,56.5,73.9,69.6,52.2,49.3,84.1,0.0,medium,medium,中,,0,60日超额收益-7.9%（24家中第2弱）；60日最大回撤-21.1%（24家中第5弱）；流动比率0.45（24家中第6弱）
2025-04-30,000717,中南股份,core,20250331,54.6,56.5,84.1,17.4,88.4,71.0,0.0,medium,medium,中,,0,收入增长-29.6%（24家中第1弱）；流动比率0.36（24家中第2弱）；60日最大回撤-23.9%（24家中第2弱）
2025-04-30,600569,安阳钢铁,core,20250331,53.4,95.7,63.8,47.8,46.4,49.3,0.0,medium,weak,弱,资产负债率89.9%≥85%；单一维度极差：杠杆96分,0,资产负债率89.9%≥85%；单一维度极差：杠杆96分；资产负债率89.9%（24家中第2弱）；速动比率0.28（24家中第5弱）；流动比率0.53（24家中第9弱）
2025-04-30,002110,三钢闽光,core,20250331,47.0,60.9,30.4,95.7,33.3,62.3,0.0,medium,medium,中,,0,经营现金流/收入-19.8%（24家中第2弱）；20日波动率55.9%（24家中第3弱）；60日最大回撤-21.7%（24家中第4弱）
2025-04-30,600010,包钢股份,core,20250331,46.5,52.2,60.9,82.6,43.5,33.3,0.0,medium,medium,中,,0,经营现金流/收入-6.4%（24家中第5弱）；现金比率0.10（24家中第7弱）；60日超额收益-3.7%（24家中第8弱）
2025-04-30,000959,首钢股份,core,20250331,45.4,39.1,62.3,78.3,40.6,47.8,0.5,medium,medium,中,,0,现金比率0.09（24家中第4弱）；20日波动率54.7%（24家中第5弱）；经营现金流/收入-4.8%（24家中第6弱）
2025-04-30,600399,抚顺特钢,core,20250331,43.1,17.4,10.1,100.0,78.3,72.5,0.0,medium,medium,中,,0,经营现金流/收入-37.5%（24家中第1弱）；净利率-7.1%（24家中第2弱）；60日超额收益-7.8%（24家中第3弱）
2025-04-30,601003,柳钢股份,core,20250331,42.2,78.3,40.6,39.1,37.7,46.4,0.0,medium,medium,中,,0,20日波动率56.0%（24家中第2弱）；资产负债率67.6%（24家中第6弱）
