as_of,security_code,security_name,peer_group,period,total_score,score_leverage,score_liquidity,score_cash,score_profit,score_market,score_contingent,base_tier,tier,tier_label,red_lines,events_after_report,reasons
2025-04-30,600022,山东钢铁,core,20250331,40.3,43.5,66.7,13.0,58.0,50.7,0.0,medium,medium,中,,0,60日超额收益-8.0%（24家中第1弱）；流动比率0.45（24家中第5弱）；收入增长-15.7%（24家中第8弱）
2025-04-30,601005,重庆钢铁,core,20250331,38.9,21.7,69.6,21.7,68.1,47.8,0.0,strong,strong,强,,0,流动比率0.38（24家中第3弱）；速动比率0.28（24家中第6弱）；毛利率0.6%（24家中第6弱）
2025-04-30,000898,鞍钢股份,core,20250331,38.1,13.0,71.0,43.5,63.8,34.8,0.0,strong,strong,强,,0,现金比率0.07（24家中第2弱）；毛利率0.5%（24家中第5弱）；速动比率0.29（24家中第7弱）
2025-04-30,000709,河钢股份,core,20250331,37.6,87.0,56.5,8.7,17.4,33.3,0.0,strong,strong,强,,0,资产负债率74.9%（24家中第4弱）；流动比率0.47（24家中第7弱）；速动比率0.33（24家中第10弱）
2025-04-30,600782,新钢股份,core,20250331,37.2,4.3,43.5,60.9,69.6,53.6,0.0,strong,strong,强,,0,收入增长-22.5%（24家中第3弱）；现金比率0.10（24家中第6弱）；60日最大回撤-19.5%（24家中第8弱）
2025-04-30,000932,华菱钢铁,core,20250331,35.7,30.4,34.8,56.5,42.0,52.2,0.0,strong,strong,强,,0,收入增长-18.4%（24家中第4弱）；20日波动率55.0%（24家中第4弱）；现金比率0.16（24家中第9弱）
2025-04-30,000708,中信特钢,core,20250331,30.9,47.8,26.1,73.9,8.7,24.6,0.3,strong,strong,强,,0,经营现金流/收入-3.5%（24家中第7弱）
2025-04-30,002075,沙钢股份,core,20250331,29.2,65.2,5.8,0.0,27.5,72.5,0.0,strong,strong,强,,0,60日最大回撤-24.4%（24家中第1弱）；20日波动率59.7%（24家中第1弱）；资产负债率63.3%（24家中第9弱）
2025-04-30,600282,南钢股份,core,20250331,28.6,34.8,36.2,34.8,24.6,36.2,0.0,strong,strong,强,,0,60日超额收益-7.8%（24家中第4弱）；收入增长-14.9%（24家中第10弱）
2025-04-30,000825,太钢不锈,core,20250331,23.6,8.7,29.0,30.4,39.1,37.7,0.0,strong,strong,强,,0,毛利率1.2%（24家中第8弱）
2025-04-30,600507,方大特钢,core,20250331,17.5,26.1,7.2,4.3,27.5,36.2,4.1,strong,strong,强,,0,20日波动率49.6%（24家中第6弱）；收入增长-16.0%（24家中第7弱）
2025-04-30,600019,宝钢股份,core,20250331,14.6,0.0,14.5,26.1,24.6,27.5,0.0,strong,strong,强,,0,60日超额收益-3.4%（24家中第9弱）
