entity_id,entity_name,group_id,date,signal_type,severity,severity_rule,magnitude,magnitude_unit,detail,source_doc,source_page,evidence_text,valid_from,valid_to
600010,内蒙古包钢钢联股份有限公司,G_BAOTOU,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",77000.0,股,包钢集团 质押给 平安银行股份有限公司呼和浩特分行,outputs/analysis_freeze/pledge/analysis_035_600010_pledge.json,3,"包钢集团
是
77,000.00
否
否
2026-02-05
2029-02-04
平安银行股份
有限公司呼和
浩特分行
3.07%
1.70%
为包钢集团融
资提供担保",2026-02-05,2029-02-04
600010,内蒙古包钢钢联股份有限公司,G_BAOTOU,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",68000.0,股,包钢集团 质押给 中信银行股份有限公司包头分行,outputs/analysis_freeze/pledge/analysis_035_600010_pledge.json,3,"包钢集团
是
68,000.00
否
否
2026-02-05
2028-09-28
中信银行股份
有限公司包头
分行
2.71%
1.50%
为包钢集团融
资提供担保",2026-02-05,2028-09-28
600231,凌源钢铁股份有限公司,G_ANSTEEL,,share_pledge,high,"本次质押占其持股 >=80% high, >=50% medium",311179639.0,股,九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司,outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json,1,"股东名称 
是否为控
股股东 
本次质押股数
(股) 
是否为限售
股 
是否补
充质押 
质押起始
日 
质押到期
日 
质权人 
占其所
持股份
比例（%） 
占公司
总股本
比例（%） 
质押融
资资金
用途 
九江萍钢钢
铁有限公司 
否 
311,179,639 
否 
否 
2025 年01
月20 日 
2028 年08
月23 日 
鞍资（天
津）融资
租赁有限
公司 
100 
10.91 
生产经
营",2025-01-20,2028-08-23
600231,凌源钢铁股份有限公司,G_ANSTEEL,,share_pledge,medium,"本次质押占其持股 >=80% high, >=50% medium",211179639.0,股,九江萍钢 质押给 鞍资（天津）融资租赁有限公司,outputs/analysis_freeze/pledge/analysis_045_600231_pledge.json,2,"股东名称
是否为控
股股东
本次质押股数
是否为
限售股
是否补
充质押
质押起始
日
质押到期日
质权人
占其所
持股份
比例
（%）
占公司
总股本
比例
（%）
质押
融资
资金
用途
九江萍钢
否
211,179,639
否
否
2025 年09
月25 日
2028 年09
月28 日
鞍资（天津）
融资租赁有
限公司
67.86
7.40
生产
经营",2025-09-25,2028-09-28
600231,凌源钢铁股份有限公司,G_ANSTEEL,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",100000000.0,股,九江萍钢 质押给 鞍钢集团成都融资租赁有限公司,outputs/analysis_freeze/pledge/analysis_045_600231_pledge.json,2,"九江萍钢
否
100,000,000
否
否
2025 年09
月25 日
2028 年09
月28 日
鞍钢集团成
都融资租赁
有限公司
32.14
3.51
生产
经营",2025-09-25,2028-09-28
600399,抚顺特殊钢股份有限公司,G_SHAGANG,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",120876444.0,股,东北特钢及一致行动人 质押给 沙钢集团,outputs/analysis_freeze/pledge/analysis_055_600399_pledge.json,2,"二、再质押情况
1、本次股份质押基本情况
股东名称
是否
为控
股股
东
本次质
押股数
（股）
是否为限售
股（如是，
注明限售类
型）
是否
补充
质押
质押起始
日
质押到期
日
质权人
占其所
持股份
比例
占公
司总
股本
比例
质押融
资资金
用途
东北特钢及
一致行动人
是
120,876
,444
否
否
2025年12
月30 日
见注
沙钢集
团
19.77%
6.13%
生产经
营
注：2024 年1 月3 日，东北特钢将持有的170,876,444 股公司股份质押给沙钢集团，
为其借款业务提供担保。2025 年12 月30 日，双方对已签署的借款合同及质押担保合同进
行变更，担保期限为2025 年12 月19 日至2028 年12 月19 日，质押股份在东北特钢向沙钢
集团清偿完全部债务时解除，具体以实际办理股份解除质押登记时间为准。",2025-12-30,2026-12-30
600507,方大特钢科技股份有限公司,G_FANGDA,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",84040000.0,股,江西板簧 质押给 中泰证券股份有限公司,outputs/analysis_freeze/pledge/analysis_067_600507_pledge.json,2,"股东名称
是否为
控股股东
本次质押股数
是否为
限售股
是否补充
质押
质押
起始日
质押
到期日
质权人
占其所持
股份比例
占公司
总股本比
例
质押融资
资金用途
江西板簧
否
84,040,000
否
否
2025/7/22
2026/7/22
中泰证券股
份有限公司
47.80%
3.63%
自身资金需要",2025-07-22,2026-07-22
600507,方大特钢科技股份有限公司,G_FANGDA,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",90000000.0,股,方大钢铁 质押给 中信证券股份有限公司,outputs/analysis_freeze/pledge/analysis_068_600507_pledge.json,2,"2、本次股份质押基本情况
单位：股
股东名称
是否为
控股股东
本次质押股数
是否为
限售股
是否补充
质押
质押
起始日
质押
到期日
质权人
占其所持
股份比例
占公司
总股本比例
质押融资
资金用途
方大钢铁
是
90,000,000
否
否
2025/12/22
2026/12/22
中信证券股
份有限公司
11.95%
3.89%
自身资金需要",2025-12-22,2026-12-22
600507,方大特钢科技股份有限公司,G_FANGDA,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",10250000.0,股,江西板簧 质押给 中泰证券股份有限公司,outputs/analysis_freeze/pledge/analysis_069_600507_pledge.json,2,"2、本次股份补充质押情况
股东名称
是否为
控股股东
本次质押股数
是否为
限售股
是否补充
质押
质押
起始日
质押到期日
质权人
占其所持
股份比例
占公司
总股本比
例
质押融资
资金用途
江西板簧
否
10,250,000
否
是
2026/7/22
2027/7/22
中泰证券股
份有限公司
5.83%
0.44%
自身资金需要",2026-07-22,2027-07-22
600569,安阳钢铁股份有限公司,G_ANYANG,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",54000.0,股,安钢集团 质押给 中原银行股份有限公司安阳分行,outputs/analysis_freeze/pledge/analysis_073_600569_pledge.json,1,"股东
名称 
是否
为控
股股
东 
本次质 
押股数 
(万股) 
是否
为限
售股 
是否补
充质押 
质  押 
起始日 
质  押 
到期日 
质权人 
占其所持
股份比例 
占公司
总股本
比例 
质押融
资资金
用途 
安钢
集团 
是 
54,000  
否 
否 
2025 年
3 月10
日 
办理解除
质押登记
手续为止 
中原银行股
份有限公司
安阳分行 
27.94% 
18.80% 
补充流
动资金",2025-03-10,2026-03-10
