rank,score,seed,reason,path,rules,amount_yi,beyond_unlisted,alternatives
1,2.45,E_LINGGANG_GROUP,未评分的非子公司被担保方（财务不公开）：获担保 27.44 亿元，占担保方净资产 39%,凌钢集团 → 凌钢股份,R1,27.44,8,2
2,2.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 马钢股份,R3,0.0,0,0
3,2.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 重庆钢铁,R3,0.0,0,0
4,2.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 八一钢铁,R3,0.0,0,0
5,2.0,600581,承压评分为弱：资产负债率95.3%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债99分；资产负债率95.3%（24家中第1弱）；现金比率0.05（24家中第1弱,八一钢铁 → 马钢股份,R3,0.0,0,0
6,2.0,600581,承压评分为弱：资产负债率95.3%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债99分；资产负债率95.3%（24家中第1弱）；现金比率0.05（24家中第1弱,八一钢铁 → 重庆钢铁,R3,0.0,0,0
7,2.0,600808,承压评分为弱：60日超额收益-9.1%（24家中第3弱）；速动比率0.27（24家中第5弱）；经营现金流/收入-6.4%（24家中第6弱）,马钢股份 → 重庆钢铁,R3,0.0,0,0
8,2.0,600808,承压评分为弱：60日超额收益-9.1%（24家中第3弱）；速动比率0.27（24家中第5弱）；经营现金流/收入-6.4%（24家中第6弱）,马钢股份 → 八一钢铁,R3,0.0,0,0
9,2.0,601005,承压评分为弱：单一维度极差：短期偿债93分；流动比率0.42（24家中第2弱）；收入增长-26.1%（24家中第2弱）；速动比率0.20（24家中第3弱）,重庆钢铁 → 马钢股份,R3,0.0,0,0
10,2.0,601005,承压评分为弱：单一维度极差：短期偿债93分；流动比率0.42（24家中第2弱）；收入增长-26.1%（24家中第2弱）；速动比率0.20（24家中第3弱）,重庆钢铁 → 八一钢铁,R3,0.0,0,0
11,1.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 中南股份,R3,0.0,0,0
12,1.0,600581,承压评分为弱：资产负债率95.3%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债99分；资产负债率95.3%（24家中第1弱）；现金比率0.05（24家中第1弱,八一钢铁 → 中南股份,R3,0.0,0,0
13,1.0,600808,承压评分为弱：60日超额收益-9.1%（24家中第3弱）；速动比率0.27（24家中第5弱）；经营现金流/收入-6.4%（24家中第6弱）,马钢股份 → 中南股份,R3,0.0,0,0
14,1.0,601005,承压评分为弱：单一维度极差：短期偿债93分；流动比率0.42（24家中第2弱）；收入增长-26.1%（24家中第2弱）；速动比率0.20（24家中第3弱）,重庆钢铁 → 中南股份,R3,0.0,0,0
15,0.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 新钢股份,R3,0.0,0,0
16,0.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 太钢不锈,R3,0.0,0,0
17,0.0,600581,承压评分为弱：资产负债率95.3%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债99分；资产负债率95.3%（24家中第1弱）；现金比率0.05（24家中第1弱,八一钢铁 → 宝钢股份,R3,0.0,0,0
18,0.0,600581,承压评分为弱：资产负债率95.3%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债99分；资产负债率95.3%（24家中第1弱）；现金比率0.05（24家中第1弱,八一钢铁 → 新钢股份,R3,0.0,0,0
19,0.0,600581,承压评分为弱：资产负债率95.3%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债99分；资产负债率95.3%（24家中第1弱）；现金比率0.05（24家中第1弱,八一钢铁 → 太钢不锈,R3,0.0,0,0
20,0.0,600808,承压评分为弱：60日超额收益-9.1%（24家中第3弱）；速动比率0.27（24家中第5弱）；经营现金流/收入-6.4%（24家中第6弱）,马钢股份 → 宝钢股份,R3,0.0,0,0
21,0.0,600808,承压评分为弱：60日超额收益-9.1%（24家中第3弱）；速动比率0.27（24家中第5弱）；经营现金流/收入-6.4%（24家中第6弱）,马钢股份 → 新钢股份,R3,0.0,0,0
22,0.0,600808,承压评分为弱：60日超额收益-9.1%（24家中第3弱）；速动比率0.27（24家中第5弱）；经营现金流/收入-6.4%（24家中第6弱）,马钢股份 → 太钢不锈,R3,0.0,0,0
23,0.0,601005,承压评分为弱：单一维度极差：短期偿债93分；流动比率0.42（24家中第2弱）；收入增长-26.1%（24家中第2弱）；速动比率0.20（24家中第3弱）,重庆钢铁 → 宝钢股份,R3,0.0,0,0
24,0.0,601005,承压评分为弱：单一维度极差：短期偿债93分；流动比率0.42（24家中第2弱）；收入增长-26.1%（24家中第2弱）；速动比率0.20（24家中第3弱）,重庆钢铁 → 新钢股份,R3,0.0,0,0
25,0.0,601005,承压评分为弱：单一维度极差：短期偿债93分；流动比率0.42（24家中第2弱）；收入增长-26.1%（24家中第2弱）；速动比率0.20（24家中第3弱）,重庆钢铁 → 太钢不锈,R3,0.0,0,0
26,0.0,E_FANGDA_GROUP,2024-04-12 credit_exposure：guarantee_limit → 绥芬河方大国际贸易有限公司（outputs/analysis_freeze/guarantee/analysis_062_600507_guarantee_related.json）,方大集团 → 方大特钢,R3,0.0,0,0
