as_of,security_code,security_name,period,total_score,score_leverage,score_liquidity,score_cash,score_profit,score_market,base_tier,tier,tier_label,red_lines,events_after_report,reasons
2026-09-24,000761,本钢板材,20260630,80.7,85.0,91.7,65.0,91.7,63.3,weak,weak,弱,资产负债率87.4%≥85%,0,资产负债率87.4%≥85%；现金比率0.06（21家中第1弱）；速动比率0.15（21家中第2弱）；毛利率-4.8%（21家中第2弱）
2026-09-24,600231,凌钢股份,20260630,77.7,80.0,91.7,85.0,71.7,58.3,weak,weak,弱,,0,毛利率-7.0%（21家中第1弱）；净利率-10.3%（21家中第1弱）；流动比率0.31（21家中第2弱）
2026-09-24,600569,安阳钢铁,20260630,74.8,95.0,56.7,100.0,80.0,53.3,weak,weak,弱,资产负债率94.5%≥85%,0,资产负债率94.5%≥85%；经营现金流/收入-11.9%（21家中第1弱）；资产负债率94.5%（21家中第2弱）；净利率-9.4%（21家中第2弱）
2026-09-24,600307,酒钢宏兴,20260630,66.2,90.0,98.3,75.0,33.3,28.3,weak,weak,弱,资产负债率89.7%≥85%,0,资产负债率89.7%≥85%；速动比率0.11（21家中第1弱）；流动比率0.28（21家中第1弱）；现金比率0.08（21家中第2弱）
2026-09-24,600399,抚顺特钢,20260630,61.7,,,,,61.7,weak,weak,弱,,0,20日波动率30.9%（21家中第4弱）；60日最大回撤-10.4%（21家中第8弱）
2026-09-24,000717,中南股份,20260630,61.3,65.0,80.0,20.0,60.0,66.7,weak,weak,弱,,0,60日超额收益-7.0%（21家中第2弱）；速动比率0.21（21家中第4弱）；流动比率0.36（21家中第4弱）
2026-09-24,600022,山东钢铁,20260630,59.9,70.0,78.3,60.0,50.0,36.7,medium,medium,中,,0,收入增长-8.2%（21家中第4弱）；速动比率0.23（21家中第5弱）；现金比率0.14（21家中第5弱）
2026-09-24,601003,柳钢股份,20260630,56.8,60.0,41.7,40.0,55.0,86.7,medium,medium,中,,0,60日最大回撤-16.7%（21家中第1弱）；20日波动率48.4%（21家中第1弱）；速动比率0.33（21家中第8弱）
2026-09-24,002110,三钢闽光,20260630,55.9,55.0,35.0,90.0,48.3,65.0,medium,medium,中,,0,经营现金流/收入-6.0%（21家中第3弱）；60日最大回撤-12.8%（21家中第4弱）；60日超额收益-4.9%（21家中第5弱）
2026-09-24,600581,八一钢铁,20260630,54.7,100.0,71.7,25.0,41.7,23.3,medium,weak,弱,资不抵债（净资产为负）；资产负债率101.8%≥85%,0,资不抵债（净资产为负）；资产负债率101.8%≥85%；资产负债率101.8%（21家中第1弱）；流动比率0.34（21家中第3弱）；速动比率0.24（21家中第6弱）
2026-09-24,000959,首钢股份,20260630,54.0,20.0,53.3,80.0,41.7,81.7,medium,medium,中,,0,60日超额收益-6.5%（21家中第3弱）；经营现金流/收入1.3%（21家中第5弱）；60日最大回撤-12.8%（21家中第5弱）
2026-09-24,000898,鞍钢股份,20260630,49.5,25.0,65.0,55.0,81.7,18.3,medium,medium,中,,0,毛利率-1.8%（21家中第3弱）；现金比率0.12（21家中第4弱）；净利率-4.3%（21家中第4弱）
2026-09-24,600782,新钢股份,20260630,49.5,5.0,31.7,95.0,80.0,51.7,medium,medium,中,,0,经营现金流/收入-7.7%（21家中第2弱）；毛利率-0.0%（21家中第5弱）；收入增长-8.0%（21家中第5弱）
2026-09-24,000932,华菱钢铁,20260630,45.3,35.0,30.0,50.0,36.7,80.0,medium,medium,中,,0,60日最大回撤-13.3%（21家中第2弱）；60日超额收益-4.9%（21家中第6弱）；20日波动率28.7%（21家中第7弱）
2026-09-24,600010,包钢股份,20260630,41.5,45.0,45.0,15.0,50.0,45.0,medium,medium,中,,0,收入增长-10.5%（21家中第1弱）；60日超额收益-7.1%（21家中第1弱）；现金比率0.16（21家中第8弱）
2026-09-24,601005,重庆钢铁,20260630,39.7,10.0,48.3,35.0,80.0,21.7,strong,strong,强,,0,收入增长-9.6%（21家中第2弱）；毛利率0.8%（21家中第6弱）；流动比率0.45（21家中第7弱）
2026-09-24,600507,方大特钢,20260630,35.3,50.0,5.0,45.0,36.7,50.0,strong,strong,强,,0,收入增长-7.6%（21家中第6弱）；60日最大回撤-12.2%（21家中第6弱）；60日超额收益-4.4%（21家中第7弱）
2026-09-24,000709,河钢股份,20260630,34.9,75.0,43.3,5.0,21.7,20.0,strong,strong,强,,0,资产负债率74.7%（21家中第6弱）；流动比率0.50（21家中第8弱）
2026-09-24,600282,南钢股份,20260630,32.6,40.0,28.3,30.0,1.7,63.3,strong,strong,强,,0,60日最大回撤-12.9%（21家中第3弱）；60日超额收益-5.4%（21家中第4弱）
2026-09-24,600808,马钢股份,20260630,31.1,15.0,28.3,0.0,46.7,58.3,strong,strong,强,,0,60日超额收益-4.0%（21家中第8弱）；20日波动率25.7%（21家中第9弱）
2026-09-24,002075,沙钢股份,20260630,26.0,30.0,0.0,70.0,21.7,,strong,strong,强,,0,经营现金流/收入3.0%（21家中第7弱）
2026-09-24,600019,宝钢股份,20260630,15.5,0.0,26.7,10.0,20.0,16.7,strong,strong,强,,0,
2026-09-24,000708,中信特钢,20260630,,,,,,,,,,,0,
2026-09-24,000825,太钢不锈,20260630,,,,,,,,,,,0,
