segment,industry,note
普钢龙头,S_普钢,
普钢,S_普钢,
特钢,S_特钢,
铁矿/铜矿,S_铁矿,
焦化,S_焦炭,
钒钛,S_钒,
铁合金,S_铁合金,
钢管,S_钢管,
钢管/铸管,S_钢管,
不锈钢加工,S_不锈钢加工,
不锈钢/特钢,S_不锈钢加工,近似：永兴材料以不锈钢长材为主
特种合金,S_特种合金,
钢结构,S_钢结构,
