rank,score,seed,reason,path,rules,amount_yi,beyond_unlisted,alternatives
11,4.82,000761,承压评分为弱：资产负债率87.4%≥85%；速动比率0.15（24家中第2弱）；现金比率0.06（24家中第2弱）；毛利率-4.8%（24家中第2弱）,本钢板材 → 本钢集团 → 凌钢股份,R2+R3,24.75,18,3
12,4.81,000761,承压评分为弱：资产负债率87.4%≥85%；速动比率0.15（24家中第2弱）；现金比率0.06（24家中第2弱）；毛利率-4.8%（24家中第2弱）,本钢板材 → 鞍钢集团 → 凌钢股份 → 钒钛股份,R2+R2+R3,24.44,0,0
13,4.14,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 山东钢铁,R2,10.76,25,0
14,2.89,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率101.8%≥85%；资产负债率101.8%（24家中第1弱）；流动比率0.34（24家中第3弱）；速动比率0.24（24家中,八一钢铁 → 八钢公司 → 新钢股份,R2+R3,76.33,0,3
15,2.89,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率101.8%≥85%；资产负债率101.8%（24家中第1弱）；流动比率0.34（24家中第3弱）；速动比率0.24（24家中,八一钢铁 → 八钢公司 → 重庆钢铁,R2+R3,76.33,0,2
16,2.89,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率101.8%≥85%；资产负债率101.8%（24家中第1弱）；流动比率0.34（24家中第3弱）；速动比率0.24（24家中,八一钢铁 → 八钢公司 → 太钢不锈,R2+R3,76.33,0,2
17,2.5,000761,承压评分为弱：资产负债率87.4%≥85%；速动比率0.15（24家中第2弱）；现金比率0.06（24家中第2弱）；毛利率-4.8%（24家中第2弱）,本钢板材 → 鞍钢集团众元产业发展有限公司 → 鞍钢股份,R2+R2,30.94,0,6
18,2.45,000959,2025-04-16 credit_exposure：guarantee_limit → 宁波首钢浙金钢材有限公司（outputs/analysis_freeze/guarantee/analysis_021_000959_guarantee_related.json）,首钢股份 → 其他关联方 → 柳钢股份,R2+R2,27.0,0,0
19,2.39,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 鞍钢集团 → 鞍钢股份 → 钒钛股份,R2+R2+R3,2.93,0,0
20,2.0,000717,承压评分为弱：60日超额收益-6.8%（24家中第2弱）；速动比率0.21（24家中第4弱）；流动比率0.36（24家中第4弱）,中南股份 → 八一钢铁,R3,0.0,1,0
21,2.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 八一钢铁,R3,0.0,1,0
22,2.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 中南股份,R3,0.0,0,0
23,1.0,000717,承压评分为弱：60日超额收益-6.8%（24家中第2弱）；速动比率0.21（24家中第4弱）；流动比率0.36（24家中第4弱）,中南股份 → 新钢股份,R3,0.0,23,0
24,1.0,000717,承压评分为弱：60日超额收益-6.8%（24家中第2弱）；速动比率0.21（24家中第4弱）；流动比率0.36（24家中第4弱）,中南股份 → 太钢不锈,R3,0.0,19,0
25,1.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 新钢股份,R3,0.0,23,0
26,1.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 太钢不锈,R3,0.0,19,0
27,1.0,000717,承压评分为弱：60日超额收益-6.8%（24家中第2弱）；速动比率0.21（24家中第4弱）；流动比率0.36（24家中第4弱）,中南股份 → 重庆钢铁,R3,0.0,0,0
28,1.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 重庆钢铁,R3,0.0,0,0
29,0.0,000761,承压评分为弱：资产负债率87.4%≥85%；速动比率0.15（24家中第2弱）；现金比率0.06（24家中第2弱）；毛利率-4.8%（24家中第2弱）,本钢板材 → 鞍钢集团 → 钒钛股份,R2+R3,22.36,0,2
30,0.0,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 凌钢集团 → 钒钛股份,R2+R3,174.01,0,2
31,0.0,600399,承压评分为弱：经营现金流/收入-21.2%（24家中第1弱）；现金比率0.05（24家中第1弱）；净利率-6.0%（24家中第4弱）,抚顺特钢 → 东北特殊钢集团股份有限公司 → 沙钢股份,R2+R2,2.61,0,2
32,0.0,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率101.8%≥85%；资产负债率101.8%（24家中第1弱）；流动比率0.34（24家中第3弱）；速动比率0.24（24家中,八一钢铁 → 八钢公司 → 宝钢股份,R2+R3,76.33,0,2
33,0.0,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率101.8%≥85%；资产负债率101.8%（24家中第1弱）；流动比率0.34（24家中第3弱）；速动比率0.24（24家中,八一钢铁 → 八钢公司 → 马钢股份,R2+R3,76.33,0,2
34,0.0,000717,承压评分为弱：60日超额收益-6.8%（24家中第2弱）；速动比率0.21（24家中第4弱）；流动比率0.36（24家中第4弱）,中南股份 → 宝钢股份,R3,0.0,0,0
35,0.0,000717,承压评分为弱：60日超额收益-6.8%（24家中第2弱）；速动比率0.21（24家中第4弱）；流动比率0.36（24家中第4弱）,中南股份 → 马钢股份,R3,0.0,0,0
36,0.0,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 马钢股份,R3,0.0,0,0
37,0.0,600022,承压评分为弱：收入增长-8.2%（24家中第4弱）；速动比率0.23（24家中第5弱）；现金比率0.14（24家中第6弱）,山东钢铁 → 宝钢股份,R2,0.29,0,0
38,0.0,E_FANGDA_GROUP,2024-04-12 credit_exposure：guarantee_limit → 绥芬河方大国际贸易有限公司（outputs/analysis_freeze/guarantee/analysis_062_600507_guarantee_related.json）,方大集团 → 方大特钢,R3,0.0,0,0
39,0.0,N_九江萍钢钢铁有限公司,2024-04-12 credit_exposure：guarantee_limit → 辽宁方大集团国贸有限公司（outputs/analysis_freeze/guarantee/analysis_062_600507_guarantee_related.json）,九江萍钢钢铁有限公司 → 方大特钢,R2,21.65,0,0
