rank,score,seed,reason,path,rules,amount_yi,beyond_unlisted,alternatives
1,14.19,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 鞍钢股份 → 鞍山钢铁集团有限公司 → 本钢板材,R3+R2+R2,141.19,0,6
2,11.27,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 本钢板材 → 鞍钢集团众元产业发展有限公司 → 鞍钢股份,R3+R2+R2,30.94,0,4
3,9.73,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 凌钢集团 → 本钢板材,R2+R3,174.01,13,3
4,7.93,000717,承压评分为弱：60日超额收益-6.8%（24家中第2弱）；速动比率0.21（24家中第4弱）；流动比率0.36（24家中第4弱）,中南股份 → 八一钢铁 → 中国宝武 → 新钢股份,R3+R2+R2,43.07,0,0
5,7.93,600019,2024-01-29 credit_exposure：guarantee_limit → 沙特宝海钢铁公司（暂定名，英文名为BAP Al-Khair Steel Company）（outputs/analysis_freeze/guarantee/analysis_037_600019_guarantee_individual.json）,宝钢股份 → 八一钢铁 → 中国宝武 → 新钢股份,R3+R2+R2,43.07,0,0
6,7.22,000761,承压评分为弱：资产负债率87.4%≥85%；速动比率0.15（24家中第2弱）；现金比率0.06（24家中第2弱）；毛利率-4.8%（24家中第2弱）,本钢板材 → 鞍钢集团 → 凌钢股份 → 鞍钢股份,R2+R2+R3,24.44,0,1
7,5.78,600581,承压评分为弱：资不抵债（净资产为负）；资产负债率101.8%≥85%；资产负债率101.8%（24家中第1弱）；流动比率0.34（24家中第3弱）；速动比率0.24（24家中,八一钢铁 → 八钢公司 → 中南股份,R2+R3,76.33,0,2
8,5.44,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 鞍钢集团 → 本钢板材 → 钒钛股份,R2+R2+R3,5.5,0,0
9,4.91,000761,承压评分为弱：资产负债率87.4%≥85%；速动比率0.15（24家中第2弱）；现金比率0.06（24家中第2弱）；毛利率-4.8%（24家中第2弱）,本钢板材 → 鞍钢股份 → 凌钢股份,R3+R2,3.33,18,0
10,4.86,600231, share_pledge：九江萍钢钢铁有限公司 质押给 鞍资（天津）融资租赁有限公司（outputs/analysis_freeze/pledge/analysis_044_600231_pledge.json）,凌钢股份 → 凌钢集团 → 鞍钢股份,R2+R3,174.01,18,3
