as_of,security_code,security_name,peer_group,period,total_score,score_leverage,score_liquidity,score_cash,score_profit,score_market,score_contingent,base_tier,tier,tier_label,red_lines,events_after_report,reasons
2025-01-31,601005,重庆钢铁,core,20240930,45.7,4.3,84.1,21.7,88.4,76.8,0.0,medium,medium,中,,0,速动比率0.21（24家中第2弱）；流动比率0.32（24家中第2弱）；收入增长-31.4%（24家中第2弱）
2025-01-31,600010,包钢股份,core,20240930,43.4,52.2,63.8,65.2,36.2,33.3,0.0,medium,medium,中,,0,现金比率0.13（24家中第7弱）；经营现金流/收入1.8%（24家中第9弱）；速动比率0.33（24家中第10弱）
2025-01-31,000898,鞍钢股份,core,20240930,42.7,13.0,66.7,78.3,71.0,29.0,0.0,medium,medium,中,,0,现金比率0.08（24家中第3弱）；毛利率-3.5%（24家中第5弱）；经营现金流/收入-0.4%（24家中第6弱）
2025-01-31,000959,首钢股份,core,20240930,42.1,47.8,68.1,69.6,30.4,26.1,0.0,medium,medium,中,,0,现金比率0.09（24家中第4弱）；经营现金流/收入0.8%（24家中第8弱）；流动比率0.53（24家中第9弱）
2025-01-31,600022,山东钢铁,core,20240930,40.9,30.4,58.0,56.5,44.9,53.6,0.0,medium,medium,中,,0,流动比率0.49（24家中第6弱）；速动比率0.33（24家中第9弱）
2025-01-31,002075,沙钢股份,core,20240930,36.8,69.6,5.8,26.1,30.4,88.4,0.0,strong,strong,强,,0,60日最大回撤-34.3%（24家中第2弱）；20日波动率50.2%（24家中第2弱）；60日超额收益-6.4%（24家中第7弱）
2025-01-31,600782,新钢股份,core,20240930,36.7,17.4,33.3,43.5,73.9,59.4,0.0,strong,strong,强,,0,收入增长-49.9%（24家中第1弱）；20日波动率47.1%（24家中第4弱）；毛利率-0.5%（24家中第8弱）
2025-01-31,000709,河钢股份,core,20240930,35.4,87.0,46.4,8.7,26.1,23.2,0.0,strong,strong,强,,0,资产负债率74.8%（24家中第4弱）；流动比率0.52（24家中第8弱）
2025-01-31,600399,抚顺特钢,core,20240930,30.4,21.7,7.2,91.3,0.0,72.5,0.0,strong,strong,强,,0,60日超额收益-13.3%（24家中第2弱）；经营现金流/收入-5.6%（24家中第3弱）；60日最大回撤-29.1%（24家中第3弱）
2025-01-31,600282,南钢股份,core,20240930,29.6,43.5,44.9,39.1,27.5,13.0,0.0,strong,strong,强,,8,现金比率0.15（24家中第9弱）；收入增长-12.5%（24家中第9弱）
2025-01-31,000708,中信特钢,core,20240930,27.6,60.9,39.1,30.4,4.3,15.9,0.0,strong,strong,强,,0,现金比率0.14（24家中第8弱）；资产负债率62.3%（24家中第10弱）
2025-01-31,000825,太钢不锈,core,20240930,26.8,8.7,27.5,52.2,43.5,34.8,0.0,strong,strong,强,,0,毛利率1.2%（24家中第10弱）；60日超额收益-1.4%（24家中第10弱）
2025-01-31,000932,华菱钢铁,core,20240930,23.8,39.1,14.5,13.0,29.0,44.9,0.0,strong,strong,强,,0,20日波动率40.1%（24家中第6弱）
2025-01-31,600507,方大特钢,core,20240930,21.6,26.1,10.1,4.3,46.4,44.9,0.0,strong,strong,强,,0,收入增长-17.6%（24家中第5弱）；20日波动率44.7%（24家中第5弱）
2025-01-31,600019,宝钢股份,core,20240930,12.1,0.0,20.3,17.4,18.8,17.4,0.0,strong,strong,强,,0,
