as_of,security_code,security_name,peer_group,period,total_score,score_leverage,score_liquidity,score_cash,score_profit,score_market,score_contingent,base_tier,tier,tier_label,red_lines,events_after_report,reasons
2025-01-31,600569,安阳钢铁,core,20240930,72.0,95.7,66.7,100.0,89.9,73.9,0.0,weak,weak,弱,资产负债率87.3%≥85%；单一维度极差：杠杆96分,0,资产负债率87.3%≥85%；单一维度极差：杠杆96分；经营现金流/收入-7.4%（24家中第1弱）；资产负债率87.3%（24家中第2弱）；收入增长-25.7%（24家中第3弱）
2025-01-31,600408,安泰集团,other,20240930,71.4,83.3,83.3,16.7,79.2,77.8,79.9,weak,weak,弱,,0,收入增长-33.8%（比24家核心钢厂中的23家更差）；60日最大回撤-35.0%（比24家核心钢厂中的23家更差）；流动比率0.35（比24家核心钢厂中的22家更差）
2025-01-31,600307,酒钢宏兴,core,20240930,70.9,91.3,91.3,95.7,60.9,72.5,0.0,weak,weak,弱,单一维度极差：杠杆91分；单一维度极差：短期偿债91分,0,单一维度极差：杠杆91分；单一维度极差：短期偿债91分；速动比率0.17（24家中第1弱）；60日超额收益-15.6%（24家中第1弱）；经营现金流/收入-5.6%（24家中第2弱）
2025-01-31,600581,八一钢铁,core,20240930,63.1,100.0,97.1,0.0,82.6,75.4,0.0,weak,weak,弱,资产负债率98.6%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债97分,0,资产负债率98.6%≥85%；单一维度极差：杠杆100分；单一维度极差：短期偿债97分；资产负债率98.6%（24家中第1弱）；现金比率0.07（24家中第1弱）；流动比率0.31（24家中第1弱）
2025-01-31,000761,本钢板材,core,20240930,58.6,82.6,66.7,47.8,78.3,65.2,0.0,medium,medium,中,,0,毛利率-5.5%（24家中第2弱）；20日波动率47.4%（24家中第3弱）；净利率-7.8%（24家中第4弱）
2025-01-31,600231,凌钢股份,core,20240930,57.2,56.5,43.5,87.0,87.0,73.9,0.0,medium,medium,中,,0,毛利率-6.5%（24家中第1弱）；净利率-9.8%（24家中第1弱）；经营现金流/收入-2.8%（24家中第4弱）
2025-01-31,000717,中南股份,core,20240930,57.1,34.8,89.9,60.9,73.9,79.7,0.0,medium,medium,中,,0,60日最大回撤-36.2%（24家中第1弱）；现金比率0.07（24家中第2弱）；速动比率0.25（24家中第4弱）
2025-01-31,600808,马钢股份,core,20240930,50.3,73.9,71.0,34.8,71.0,36.2,0.0,medium,medium,中,,0,20日波动率58.7%（24家中第1弱）；流动比率0.48（24家中第5弱）；收入增长-16.8%（24家中第6弱）
2025-01-31,601003,柳钢股份,core,20240930,49.6,78.3,52.2,73.9,43.5,39.1,0.0,medium,medium,中,,0,资产负债率67.7%（24家中第6弱）；经营现金流/收入0.3%（24家中第7弱）；60日超额收益-5.4%（24家中第8弱）
2025-01-31,002110,三钢闽光,core,20240930,45.7,65.2,31.9,82.6,42.0,50.7,0.0,medium,medium,中,,3,经营现金流/收入-1.3%（24家中第5弱）；资产负债率63.5%（24家中第9弱）；净利率-4.0%（24家中第9弱）
