holdout_id,security_code,security_name,announcement_date,target_pattern,announcement_title,source_url,notes
guarantee_001,600507,方大特钢,2024-08-30,guarantee_multi_subsidiary,关于为子公司提供担保的公告,http://static.cninfo.com.cn/finalpage/2024-08-30/1221053129.PDF,"verified: 7 subsidiaries, 7.52亿元, counter-guarantee"
guarantee_002,600408,安泰集团,2025-06-06,guarantee_related_party,关于为山西新泰钢铁有限公司提供担保的公告,http://static.cninfo.com.cn/finalpage/2025-06-07/1223803748.PDF,"verified: related party owned by controlling shareholder, 4 loans, counter-guarantee"
guarantee_003,000708,中信特钢,2025-06-26,guarantee_intra_group,关于子公司内部提供担保的公告,http://static.cninfo.com.cn/finalpage/2025-06-26/1223981007.PDF,"verified: subsidiary guarantees another subsidiary, 2.29亿元"
guarantee_004,600282,南钢股份,2026-05-07,guarantee_progress_foreign_currency,关于对外提供担保的进展公告,https://stockmc.xueqiu.com/202605/600282_20260507_V0FG.pdf,verified: USD guarantee for Indonesian subsidiary under annual quota
