security_code,security_name,notice_date,task,title,doc_id,source_url,used_in
600022,山东钢铁,2024-03-30,related_party,日常关联交易公告,9919077,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-3/2024-03-30/9919077.PDF,
600022,山东钢铁,2024-03-30,related_party,关于与山东钢铁集团财务有限公司签署金融服务协议及关联交易预计的公告,9919076,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-3/2024-03-30/9919076.PDF,
600022,山东钢铁,2024-06-21,related_party,关于增加2024年度日常关联交易预计额度的公告,10285507,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-6/2024-06-21/10285507.PDF,
600022,山东钢铁,2025-04-30,related_party,日常关联交易公告,11066177,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-4/2025-04-30/11066177.PDF,
600022,山东钢铁,2025-12-11,related_party,关于2026年度日常关联交易预计的公告,11690260,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-12/2025-12-11/11690260.PDF,
600231,凌钢股份,2025-02-18,capacity,关于1#—4#高炉装备升级建设项目进展的公告,10746897,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-2/2025-02-18/10746897.PDF,
600231,凌钢股份,2025-05-28,capacity,关于1#-4#高炉装备升级建设项目—2290m3高炉投产的公告,11144336,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-5/2025-05-28/11144336.PDF,
600231,凌钢股份,2024-06-27,guarantee,关于股东补充融资融券担保品的公告,10295839,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-6/2024-06-27/10295839.PDF,
600231,凌钢股份,2024-10-18,guarantee,关于股东解除融资融券担保品业务的公告,10530212,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-10/2024-10-18/10530212.PDF,
600231,凌钢股份,2024-11-14,guarantee,关于对外提供担保的进展公告,10590962,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-11/2024-11-14/10590962.PDF,
600231,凌钢股份,2024-02-20,pledge,股份质押公告,9834247,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-2/2024-02-20/9834247.PDF,
600231,凌钢股份,2024-03-07,pledge,关于股东终止通过协议转让方式进行股票质押式回购交易违约处置的公告,9858999,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-3/2024-03-07/9858999.PDF,
600231,凌钢股份,2024-03-28,pledge,关于股东股票质押展期的公告,9903593,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-3/2024-03-28/9903593.PDF,
600231,凌钢股份,2024-04-09,pledge,关于公司股东股份解除质押的公告,9946049,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-4/2024-04-09/9946049.PDF,
600231,凌钢股份,2024-06-13,pledge,股份质押公告,10270808,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-6/2024-06-13/10270808.PDF,
600231,凌钢股份,2024-06-28,pledge,关于公司股东股份解除质押的公告,10297652,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-6/2024-06-28/10297652.PDF,
600231,凌钢股份,2024-11-01,pledge,关于控股股东所持公司股份解除质押的公告,10571403,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-11/2024-11-01/10571403.PDF,
600231,凌钢股份,2025-01-21,pledge,股份质押公告,10717762,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-1/2025-01-21/10717762.PDF,
600231,凌钢股份,2025-09-27,pledge,关于持股5%以上股东股份解除质押及再质押的公告,11483327,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-9/2025-09-27/11483327.PDF,
600231,凌钢股份,2024-03-14,related_party,2024年度日常关联交易公告,9869615,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-3/2024-03-14/9869615.PDF,
600231,凌钢股份,2024-12-21,related_party,2025年度日常关联交易公告,10662217,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-12/2024-12-21/10662217.PDF,
600231,凌钢股份,2025-06-13,related_party,关于调整2025年度部分日常关联交易金额的公告,11178362,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-6/2025-06-13/11178362.PDF,
600231,凌钢股份,2026-04-01,related_party,关于2026年日常关联交易的公告,12051620,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-4/2026-04-01/12051620.PDF,
600231,凌钢股份,2026-07-16,related_party,关于调整2026年度部分日常关联交易金额的公告,12447770,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-7/2026-07-16/12447770.PDF,
600282,南钢股份,2024-01-03,guarantee,关于对外提供担保的进展公告,9760799,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-1/2024-01-03/9760799.PDF,guarantee
600282,南钢股份,2024-01-31,guarantee,关于2024年度预计为全资及控股子公司申请授信提供担保的公告,9812008,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-1/2024-01-31/9812008.PDF,
600282,南钢股份,2024-01-31,guarantee,关于2024年度预计为全资子公司销售钢材提供担保的公告,9812007,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-1/2024-01-31/9812007.PDF,
600282,南钢股份,2024-02-28,guarantee,关于对外提供担保的进展公告,9846018,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-2/2024-02-28/9846018.PDF,guarantee
